restaurant_code,category_code
RES0000,CAT0052
RES0000,CAT0095
RES0001,CAT0015
RES0001,CAT0007
RES0002,CAT0054
RES0002,CAT0023
RES0003,CAT0115
RES0003,CAT0108
RES0004,CAT0122
RES0005,CAT0029
RES0005,CAT0102
RES0006,CAT0089
RES0006,CAT0061
RES0007,CAT0092
RES0007,CAT0045
RES0008,CAT0100
RES0008,CAT0090
RES0009,CAT0004
RES0010,CAT0114
RES0010,CAT0003
RES0011,CAT0078
RES0011,CAT0121
RES0012,CAT0039
RES0012,CAT0082
RES0013,CAT0011
RES0013,CAT0022
RES0014,CAT0034
RES0014,CAT0112
RES0015,CAT0114
RES0015,CAT0046
RES0016,CAT0057
RES0017,CAT0006
RES0017,CAT0069
RES0018,CAT0050
RES0019,CAT0025
RES0020,CAT0009
RES0021,CAT0001
RES0021,CAT0085
RES0022,CAT0119
RES0022,CAT0014
RES0023,CAT0046
RES0023,CAT0096
RES0024,CAT0114
RES0024,CAT0046
RES0025,CAT0066
RES0025,CAT0062
RES0026,CAT0077
RES0026,CAT0046
RES0027,CAT0009
RES0027,CAT0044
RES0028,CAT0083
RES0028,CAT0047
RES0029,CAT0093
RES0029,CAT0008
RES0030,CAT0046
RES0031,CAT0030
RES0031,CAT0118
RES0032,CAT0066
RES0032,CAT0036
RES0033,CAT0046
RES0033,CAT0084
RES0034,CAT0060
RES0034,CAT0022
RES0035,CAT0087
RES0036,CAT0040
RES0036,CAT0009
RES0037,CAT0066
RES0037,CAT0046
RES0038,CAT0033
RES0038,CAT0081
RES0039,CAT0116
RES0039,CAT0026
RES0040,CAT0012
RES0040,CAT0109
RES0041,CAT0016
RES0041,CAT0072
RES0042,CAT0115
RES0042,CAT0015
RES0043,CAT0040
RES0043,CAT0111
RES0044,CAT0065
RES0045,CAT0046
RES0045,CAT0009
RES0046,CAT0009
RES0047,CAT0114
RES0047,CAT0038
RES0048,CAT0088
RES0048,CAT0060
RES0049,CAT0080
RES0049,CAT0055
RES0050,CAT0041
RES0050,CAT0060
RES0051,CAT0108
RES0051,CAT0021
RES0052,CAT0063
RES0052,CAT0051
RES0053,CAT0005
RES0053,CAT0042
RES0054,CAT0104
RES0055,CAT0083
RES0055,CAT0024
RES0056,CAT0114
RES0056,CAT0046
RES0057,CAT0097
RES0057,CAT0065
RES0058,CAT0052
RES0058,CAT0070
RES0059,CAT0066
RES0060,CAT0059
RES0060,CAT0048
RES0061,CAT0114
RES0061,CAT0105
RES0062,CAT0032
RES0062,CAT0027
RES0063,CAT0098
RES0064,CAT0018
RES0064,CAT0101
RES0065,CAT0056
RES0066,CAT0076
RES0066,CAT0090
RES0067,CAT0074
RES0067,CAT0043
RES0068,CAT0074
RES0068,CAT0031
RES0069,CAT0106
RES0069,CAT0053
RES0070,CAT0113
RES0070,CAT0108
RES0071,CAT0080
RES0071,CAT0055
RES0072,CAT0103
RES0072,CAT0117
RES0073,CAT0075
RES0073,CAT0019
RES0074,CAT0010
RES0074,CAT0099
RES0075,CAT0114
RES0075,CAT0046
RES0076,CAT0083
RES0077,CAT0066
RES0078,CAT0094
RES0079,CAT0011
RES0080,CAT0079
RES0081,CAT0068
RES0082,CAT0071
RES0083,CAT0067
RES0083,CAT0020
RES0084,CAT0013
RES0084,CAT0120
RES0085,CAT0089
RES0085,CAT0061
RES0086,CAT0002
RES0086,CAT0058
RES0087,CAT0064
RES0088,CAT0071
RES0089,CAT0011
RES0089,CAT0022
RES0090,CAT0049
RES0090,CAT0035
RES0091,CAT0089
RES0091,CAT0061
RES0092,CAT0000
RES0092,CAT0073
RES0093,CAT0028
RES0093,CAT0086
RES0094,CAT0091
RES0094,CAT0037
RES0095,CAT0015
RES0095,CAT0007
RES0096,CAT0107
RES0096,CAT0017
RES0097,CAT0104
RES0098,CAT0108
RES0098,CAT0110
RES0099,CAT0080
RES0099,CAT0055
